X1_ActualPosition,X1_ActualVelocity,X1_ActualAcceleration,X1_CommandPosition,X1_CommandVelocity,X1_CommandAcceleration,X1_CurrentFeedback,X1_DCBusVoltage,X1_OutputCurrent,X1_OutputVoltage,X1_OutputPower,Y1_ActualPosition,Y1_ActualVelocity,Y1_ActualAcceleration,Y1_CommandPosition,Y1_CommandVelocity,Y1_CommandAcceleration,Y1_CurrentFeedback,Y1_DCBusVoltage,Y1_OutputCurrent,Y1_OutputVoltage,Y1_OutputPower,Z1_ActualPosition,Z1_ActualVelocity,Z1_ActualAcceleration,Z1_CommandPosition,Z1_CommandVelocity,Z1_CommandAcceleration,Z1_CurrentFeedback,Z1_DCBusVoltage,Z1_OutputCurrent,Z1_OutputVoltage,S1_ActualPosition,S1_ActualVelocity,S1_ActualAcceleration,S1_CommandPosition,S1_CommandVelocity,S1_CommandAcceleration,S1_CurrentFeedback,S1_DCBusVoltage,S1_OutputCurrent,S1_OutputVoltage,S1_OutputPower,S1_SystemInertia,M1_CURRENT_PROGRAM_NUMBER,M1_sequence_number,M1_CURRENT_FEEDRATE,Machining_Process,Experiement_Date
198,0,0,198,0,0,0.18,0.0207,329,2.77,-1.42E-06,158,-0.025,-6.25,158,0,0,0.539,0.0167,328,1.84,6.43E-07,119,0,0,119,0,0,0,0,0,0,-361,0.001,0.25,-361,0,0,0.524,2.74E-19,329,0,6.96E-07,12,1,0,50,Starting,01/01/2024
198,-10.8,-350,198,-13.6,-358,-10.9,0.186,328,23.3,0.00448,158,-19.8,-750,157,-24.6,-647,-14.5,0.281,325,37.8,0.0126,119,-20.3,-712,118,-25.6,-674,0,0,0,0,-361,0,0.25,-361,0,0,-0.288,2.74E-19,328,0,-5.27E-07,12,1,4,50,Prep,01/01/2024
196,-17.8,-6.25,196,-17.9,-9.54E-05,-8.59,0.14,328,30.6,0.00533,154,-32.5,0,154,-32.3,-9.54E-05,-7.79,0.139,327,49.4,0.00943,115,-33.7,37.5,115,-33.7,-9.54E-05,0,0,0,0,-361,0,-0.438,-361,0,0,0.524,2.74E-19,328,0,9.10E-07,12,1,7,50,Prep,01/01/2024
194,-18,0,194,-17.9,-9.54E-05,-6.11,0.13,327,30.3,0.00489,151,-32.6,-62.5,151,-32.3,-9.54E-05,-8.13,0.156,325,47.6,0.0105,112,-33.7,-6.25,112,-33.7,0,0,0,0,0,-361,-0.001,-0.25,-361,0,0,-0.18,2.74E-19,328,0,1.07E-06,12,1,7,50,Prep,01/01/2024
193,-17.9,-18.8,192,-17.9,9.54E-05,-5.7,0.114,328,30.5,0.00425,148,-32,138,148,-32.3,9.54E-05,-13.8,0.202,326,47.1,0.0135,109,-33.6,18.8,108,-33.7,0,0,0,0,0,-361,0,-0.188,-361,0,0,0.226,2.74E-19,328,0,1.96E-06,12,1,7,50,Prep,01/01/2024
191,-17.6,81.2,191,-17.9,0.000191,-5.85,0.128,328,30.9,0.00474,145,-32.4,-12.5,144,-32.3,0,-9.78,0.166,326,49.6,0.0113,105,-33.7,-6.25,105,-33.7,9.54E-05,0,0,0,0,-361,0,0,-361,0,0,0.821,2.74E-19,328,0,0,12,1,7,50,Prep,01/01/2024
189,-17.9,-6.25,189,-17.9,9.54E-05,-5.84,0.0955,328,29.3,0.00345,141,-32.3,81.2,141,-32.3,-9.54E-05,-8.56,0.179,326,50,0.0124,102,-33.5,62.5,102,-33.7,9.54E-05,0,0,0,0,-361,0.00075,-0.0625,-361,0,0,0.523,2.74E-19,328,0,3.79E-06,12,1,2,50,Prep,01/01/2024
187,-17.8,50,187,-17.9,-0.000191,-7.31,0.117,327,29.1,0.00441,138,-32.3,50,138,-32.3,-9.54E-05,-8,0.185,325,50.8,0.0128,98.6,-33.7,18.8,98.3,-33.7,0,0,0,0,0,-361,0,0,-361,0,0,-0.288,2.74E-19,328,0,0,12,1,7,50,Prep,01/01/2024
185,-17.9,25,185,-17.9,0,-7.98,0.113,328,29.4,0.00417,135,-32.3,37.5,135,-32.3,0,-9.96,0.154,327,49.7,0.0102,95.1,-33.6,18.8,94.8,-33.7,9.54E-05,0,0,0,0,-361,-0.00075,-0.188,-361,0,0,-0.0997,2.74E-19,328,0,-8.36E-08,12,1,7,50,Prep,01/01/2024
184,-17.9,12.5,183,-17.9,-9.54E-05,-7.44,0.138,328,29.8,0.00501,132,-32.7,-31.3,132,-32.3,0,-6.29,0.119,325,48.1,0.00784,91.8,-33.7,-37.5,91.6,-33.7,9.54E-05,0,0,0,0,-361,-0.001,0,-361,0,0,0.118,2.74E-19,328,0,0,12,1,7,50,Prep,01/01/2024
